,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
59,47BF9D,36000.0,52.56921,7.35298,2025-05-24T13:18:31.925002052+02:00,-29.27114620236112,zi-5110,,,,49.756420818313046
43,47BF9D,36000.0,52.57126,7.35543,2025-05-24T13:18:30.829569985+02:00,-31.53569406244296,zi-5110,,,,50.03627742129539
20,47BF9D,36000.0,52.57302,7.35747,2025-05-24T13:18:29.84695693+02:00,-33.22875260975049,zi-5110,,,,50.27365706596004
46,06A07F,33000.0,52.73926,7.13868,2025-05-24T13:18:31.049991555+02:00,-36.7627528893036,zi-5110,,,,58.78299828574916
58,010244,23975.0,52.2242,6.94122,2025-05-24T13:18:31.815352015+02:00,-38.951893407124636,zi-5110,,,,5.901680891038678
34,4D0285,43000.0,52.53145,6.68981,2025-05-24T13:18:30.501499837+02:00,-40.71240597164456,zi-5110,,,,34.4641211178828
25,06A07F,33000.0,52.74066,7.13491,2025-05-24T13:18:30.064484687+02:00,-41.241362732092156,zi-5110,,,,58.84841915481911
81,34660B,34000.0,52.34692,6.60522,2025-05-24T13:18:33.233908389+02:00,-42.579924847279855,zi-5110,,,,20.965416992277746
66,4D0285,43000.0,52.53493,6.69113,2025-05-24T13:18:32.466743593+02:00,-45.363531608550936,zi-5110,,,,34.800072838917266
6,06A07F,33000.0,52.74179,7.13173,2025-05-24T13:18:29.189973685+02:00,-52.55140340656945,zi-5110,,,,58.89935997569958
74,010244,23950.0,52.22472,6.93912,2025-05-24T13:18:32.687796595+02:00,-72.44239090477342,zi-5110,,,,5.748202734290275
18,010244,24050.0,52.22282,6.94633,2025-05-24T13:18:29.738745593+02:00,-76.46665940133647,zi-5110,,,,6.278967205444482
90,010244,23950.0,52.22533,6.93692,2025-05-24T13:18:33.66819711+02:00,-79.44337606119217,zi-5110,,,,5.585483715988926
42,010244,24000.0,52.22351,6.94375,2025-05-24T13:18:30.828866654+02:00,-80.2894762718004,zi-5110,,,,6.088640878349942
63,484BAE,1275.0,52.25391,6.87668,2025-05-24T13:18:32.247597421+02:00,-220.2931002096979,zi-5110,,,,2.089506520555549
53,484BAE,1275.0,52.25386,6.87642,2025-05-24T13:18:31.702310146+02:00,-221.96519997513127,zi-5110,,,,2.0743494657456116
97,484BAE,1250.0,52.25395,6.87759,2025-05-24T13:18:34.216047158+02:00,-235.91587483677313,zi-5110,,,,2.131248749084996
82,484BAE,1275.0,52.25396,6.87713,2025-05-24T13:18:33.23486279+02:00,-237.57998653085238,zi-5110,,,,2.1126675157703536
49,484BAE,1275.0,52.25386,6.87619,2025-05-24T13:18:31.266290866+02:00,-258.130780806939,zi-5110,,,,2.064920701487525
75,484BAE,1275.0,52.25391,6.87691,2025-05-24T13:18:32.688029085+02:00,-286.73524373540135,zi-5110,,,,2.0990736978156375
92,484BAE,1250.0,52.25396,6.87728,2025-05-24T13:18:33.776652466+02:00,-294.2190510487042,zi-5110,,,,2.1189781974270123
39,484BAE,1275.0,52.25377,6.87592,2025-05-24T13:18:30.7207505+02:00,-335.4495491128286,zi-5110,,,,2.045907775016507
13,484BAE,1275.0,52.25368,6.87548,2025-05-24T13:18:29.627236743+02:00,-347.4545293991719,zi-5110,,,,2.0200927639856854
4,484BAE,1275.0,52.25359,6.87523,2025-05-24T13:18:29.081177701+02:00,-357.7848515518789,zi-5110,,,,2.0019954468508243
29,484BAE,1275.0,52.25372,6.87571,2025-05-24T13:18:30.173478603+02:00,-464.65680883852326,zi-5110,,,,2.0329359198781436
